No;Latitude;longitude;Lokasi;Tanggal;aD;aL;DAz;Lag;w;lluminasi (%);Suhu_Atmosfer_C;Kelembapan_Pct;Kecepatan_Angin_ms;Kondisi_Awan_Pct;Transparansi_Index;Visibility
393;-6.903530556;107.6086028;POBAL-BIRUNIUNISBA;13/12/2023;5.59;7.65;4.18;25.82;0.12;0.36;24.64270661;82.65612722;2.167613033;81.92737727;0.69;0
394;-6.273333333;106.9830556;Bekasi, JawaBarat;13/12/2023;5.55;7.66;4.26;25.61;0.12;0.36;31.67;60.12326316;0.63;66.46990944;0.7;0
395;-6.162983333;106.749025;POB Masjid Al-Musariin kembangan Utara;13/12/2023;5.55;7.67;4.27;25.59;0.12;0.36;31.72;72.6485402;1.43;44.43566213;0.7;0
396;5.125833333;97.15086944;Lhokseumawe,Aceh;13/12/2023;4.69;7.81;5.56;21.49;0.13;0.39;24.52159991;85.49173375;2.625419409;78.49435638;0.5;0
397;5.617886111;95.14846944;Pulau Nasi;13/12/2023;4.70;7.86;5.63;21.57;0.13;0.40;25.69290908;87.82873527;3.935399305;76.80955621;0.59;0
398;-8.602638889;116.0737639;Pantai Loang Baloq;12/01/2024;12.93;13.85;0.56;58.73;0.42;1.26;29.92;65.69722878;2.06;31.58080555;0.69;3
399;-7.16975;112.6174694;Balai Rukyat NU Condrodipo;12/01/2024;13.02;13.95;0.90;58.97;0.42;1.28;31.22;72.77241849;1.31;35.89066941;0.58;3
400;-7.457266667;112.7222167;RSI Siti Hajar Sidoarjo;12/01/2024;13.02;13.96;0.83;59.01;0.42;1.28;31.16;60.06582801;1.3;48.79875317;0.58;1
401;-7.5297;112.4093806;Masjid Agung Darussalam Sooko Mojokerto;12/01/2024;13.04;13.97;0.80;59.08;0.42;1.28;31.16;70.03027902;1.3;55.89895718;0.58;1
402;-8.204722222;112.1583333;Blitar, JawaTimur;12/01/2024;13.06;13.99;0.61;59.27;0.43;1.29;29.98;75.10338183;2.91;58.65184138;0.71;1
403;-7.009558333;113.8583;Sumenep;12/01/2024;12.97;13.91;0.96;58.73;0.42;1.27;29.78;72.93047765;1.64;65.46920462;0.72;2
404;-7.631058333;111.5300167;Madiun ;12/01/2024;13.07;14.00;0.76;59.24;0.43;1.29;31.48;72.99032582;2.12;31.93807494;0.62;1
405;-6.991836111;110.3481111;Observatorium UIN Walisongo;12/01/2024;13.09;14.03;0.92;59.29;0.43;1.30;30.81;75.49441004;0.71;65.91367152;0.48;3
406;-6.857911111;109.6921028;Pelabuhan PPNP Pekalongan;12/01/2024;13.11;14.05;0.95;59.37;0.43;1.30;30.41;76.6950415;0.74;54.43853985;0.51;3
407;-8.016177778;110.3233639;POB Syekh Belabelu Bantul;12/01/2024;13.13;14.05;0.64;59.52;0.43;1.30;29.7;64.75362833;3.04;31.30174728;0.57;3
408;-6.806277778;108.7307778;Pantai Baro Gebang;12/01/2024;13.15;14.09;0.96;59.51;0.43;1.31;30.67;70.54644003;2.75;32.14840708;0.58;3
409;5.125833333;97.15086944;Lhokseumawe,Aceh;12/01/2024;12.84;14.33;4.09;58.80;0.45;1.37;27.67;65.44493753;1.61;53.94351574;0.67;3
410;5.466572222;95.242275;Obs Tgk Chiek Kuta Karang Lhoknga, AcehBesar;12/01/2024;12.88;14.40;4.18;59.05;0.46;1.38;28.85;79.11644076;5.2;30.1027901;0.5;3
411;-7.9128;113.8210444;Masjid Agung At-Taqwa Bondowoso;12/01/2024;13.00;13.92;0.72;58.94;0.42;1.28;28.32;71.03036971;2.79;40.86365503;0.72;0
